Velocity,Mass,Thrust,Drag
322.684,15.483,0,411.148
322.323,15.483,0,410.26
321.961,15.483,0,409.376
321.6,15.483,0,408.496
321.24,15.483,0,407.62
320.879,15.483,0,406.749
320.519,15.483,0,405.892
320.16,15.483,0,405.036
319.801,15.483,0,404.182
319.443,15.483,0,403.329
319.085,15.483,0,402.477
318.728,15.483,0,401.616
318.371,15.483,0,400.757
318.015,15.483,0,399.9
317.66,15.483,0,399.044
317.305,15.483,0,398.189
316.951,15.483,0,397.323
316.597,15.483,0,396.459
316.244,15.483,0,395.596
315.892,15.483,0,394.736
315.54,15.483,0,393.877
315.188,15.483,0,393.017
314.838,15.483,0,392.16
314.488,15.483,0,391.305
314.138,15.483,0,390.452
313.789,15.483,0,389.602
313.441,15.483,0,388.762
313.094,15.483,0,387.925
312.747,15.483,0,387.09
312.401,15.483,0,386.258
312.055,15.483,0,385.429
311.71,15.483,0,384.62
311.366,15.483,0,383.813
311.023,15.483,0,383.007
310.68,15.483,0,382.204
310.337,15.483,0,381.409
309.996,15.483,0,380.626
309.654,15.483,0,379.844
309.314,15.483,0,379.062
308.974,15.483,0,378.28
308.634,15.483,0,377.495
308.294,15.483,0,376.691
307.955,15.483,0,375.891
307.616,15.483,0,375.097
307.277,15.483,0,374.309
306.938,15.483,0,373.525
306.599,15.483,0,372.733
306.261,15.483,0,371.947
305.922,15.483,0,371.164
305.584,15.483,0,370.38
305.246,15.483,0,369.596
304.908,15.483,0,368.818
304.571,15.483,0,368.038
304.235,15.483,0,367.258
303.9,15.483,0,366.479
303.566,15.483,0,365.705
303.232,15.483,0,364.941
302.9,15.483,0,364.185
302.568,15.483,0,363.437
302.237,15.483,0,362.696
301.908,15.483,0,361.957
301.579,15.483,0,361.186
301.25,15.483,0,360.416
300.922,15.483,0,359.645
300.594,15.483,0,358.875
300.267,15.483,0,358.105
299.94,15.483,0,357.34
299.614,15.483,0,356.576
299.288,15.483,0,355.814
298.962,15.483,0,354.453
298.637,15.483,0,353.022
298.313,15.483,0,351.59
297.989,15.483,0,350.174
297.666,15.483,0,348.776
297.344,15.483,0,347.393
297.022,15.483,0,346.03
296.701,15.483,0,344.722
296.381,15.483,0,343.425
296.062,15.483,0,342.139
295.744,15.483,0,340.865
295.427,15.483,0,339.601
295.11,15.483,0,338.33
294.795,15.483,0,337.07
294.48,15.483,0,335.822
294.167,15.483,0,334.584
293.854,15.483,0,333.353
293.542,15.483,0,332.092
293.231,15.483,0,330.843
292.921,15.483,0,329.605
292.611,15.483,0,328.377
292.302,15.483,0,327.164
291.994,15.483,0,325.992
291.686,15.483,0,324.831
291.38,15.483,0,323.68
291.074,15.483,0,322.538
290.769,15.483,0,321.406
290.465,15.483,0,320.282
290.162,15.483,0,319.167
289.86,15.483,0,318.061
289.559,15.483,0,316.963
289.258,15.483,0,315.877
288.958,15.483,0,314.831
288.659,15.483,0,313.793
288.36,15.483,0,312.762
288.063,15.483,0,311.738
287.766,15.483,0,310.716
287.469,15.483,0,309.678
287.174,15.483,0,308.646
286.878,15.483,0,307.621
286.584,15.483,0,306.604
286.289,15.483,0,305.601
285.996,15.483,0,304.655
285.703,15.483,0,303.715
285.41,15.483,0,302.782
285.118,15.483,0,301.855
284.827,15.483,0,300.924
284.536,15.483,0,299.92
284.246,15.483,0,298.93
283.955,15.483,0,297.951
283.665,15.483,0,296.983
283.375,15.483,0,296.026
283.085,15.483,0,295.096
282.796,15.483,0,294.168
282.508,15.483,0,293.243
282.22,15.483,0,292.321
281.933,15.483,0,291.4
281.646,15.483,0,290.466
281.36,15.483,0,289.535
281.075,15.483,0,288.608
280.79,15.483,0,287.686
280.507,15.483,0,286.77
